Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Wed, Jan 27, 2021;7:00p;Indiana Pacers;116;Charlotte Hornets;106;Box Score;;0;
Wed, Jan 27, 2021;7:00p;Detroit Pistons;107;Cleveland Cavaliers;122;Box Score;;1,944;
Wed, Jan 27, 2021;7:00p;Sacramento Kings;121;Orlando Magic;107;Box Score;;3,216;
Wed, Jan 27, 2021;7:30p;Brooklyn Nets;132;Atlanta Hawks;128;Box Score;OT;1,008;
Wed, Jan 27, 2021;7:30p;Denver Nuggets;109;Miami Heat;82;Box Score;;0;
Wed, Jan 27, 2021;7:30p;Los Angeles Lakers;106;Philadelphia 76ers;107;Box Score;;0;
Wed, Jan 27, 2021;7:30p;Milwaukee Bucks;115;Toronto Raptors;108;Box Score;;0;
Wed, Jan 27, 2021;8:30p;Boston Celtics;106;San Antonio Spurs;110;Box Score;;0;
Wed, Jan 27, 2021;9:00p;Washington Wizards;106;New Orleans Pelicans;124;Box Score;;750;
Wed, Jan 27, 2021;9:00p;Oklahoma City Thunder;102;Phoenix Suns;97;Box Score;;0;
Wed, Jan 27, 2021;9:00p;Dallas Mavericks;104;Utah Jazz;116;Box Score;;0;
Wed, Jan 27, 2021;10:00p;Minnesota Timberwolves;111;Golden State Warriors;123;Box Score;;0;
Thu, Jan 28, 2021;7:30p;Portland Trail Blazers;101;Houston Rockets;104;Box Score;;3,154;
Thu, Jan 28, 2021;8:00p;Los Angeles Lakers;92;Detroit Pistons;107;Box Score;;0;
Thu, Jan 28, 2021;8:00p;Los Angeles Clippers;109;Miami Heat;105;Box Score;;0;
Thu, Jan 28, 2021;10:00p;Golden State Warriors;93;Phoenix Suns;114;Box Score;;0;
Fri, Jan 29, 2021;7:00p;Indiana Pacers;105;Charlotte Hornets;108;Box Score;;0;
Fri, Jan 29, 2021;7:00p;Atlanta Hawks;116;Washington Wizards;100;Box Score;;0;
Fri, Jan 29, 2021;7:30p;Milwaukee Bucks;126;New Orleans Pelicans;131;Box Score;;1,44;
Fri, Jan 29, 2021;7:30p;Cleveland Cavaliers;81;New York Knicks;102;Box Score;;0;
Fri, Jan 29, 2021;7:30p;Sacramento Kings;126;Toronto Raptors;124;Box Score;;0;
Fri, Jan 29, 2021;8:00p;Philadelphia 76ers;118;Minnesota Timberwolves;94;Box Score;;0;
Fri, Jan 29, 2021;8:00p;Brooklyn Nets;147;Oklahoma City Thunder;125;Box Score;;0;
Fri, Jan 29, 2021;8:00p;Los Angeles Clippers;116;Orlando Magic;90;Box Score;;3,763;
Fri, Jan 29, 2021;8:30p;Denver Nuggets;109;San Antonio Spurs;119;Box Score;;0;
Fri, Jan 29, 2021;10:00p;Dallas Mavericks;101;Utah Jazz;120;Box Score;;1,932;
Sat, Jan 30, 2021;8:00p;Portland Trail Blazers;123;Chicago Bulls;122;Box Score;;0;
Sat, Jan 30, 2021;8:00p;Milwaukee Bucks;114;Charlotte Hornets;126;Box Score;;0;
Sat, Jan 30, 2021;8:00p;Sacramento Kings;104;Miami Heat;105;Box Score;;0;
Sat, Jan 30, 2021;8:00p;Houston Rockets;126;New Orleans Pelicans;112;Box Score;;1,44;
Sat, Jan 30, 2021;8:30p;Los Angeles Lakers;96;Boston Celtics;95;Box Score;;0;
Sat, Jan 30, 2021;8:30p;Memphis Grizzlies;129;San Antonio Spurs;112;Box Score;;0;
Sat, Jan 30, 2021;9:00p;Phoenix Suns;111;Dallas Mavericks;105;Box Score;;0;
Sat, Jan 30, 2021;10:00p;Detroit Pistons;91;Golden State Warriors;118;Box Score;;0;
Sun, Jan 31, 2021;1:00p;Los Angeles Clippers;129;New York Knicks;115;Box Score;;0;
Sun, Jan 31, 2021;3:30p;Utah Jazz;117;Denver Nuggets;128;Box Score;;0;
Sun, Jan 31, 2021;7:00p;Philadelphia 76ers;119;Indiana Pacers;110;Box Score;;0;
Sun, Jan 31, 2021;7:00p;Orlando Magic;102;Toronto Raptors;115;Box Score;;0;
Sun, Jan 31, 2021;7:00p;Brooklyn Nets;146;Washington Wizards;149;Box Score;;0;
Sun, Jan 31, 2021;8:00p;Cleveland Cavaliers;104;Minnesota Timberwolves;109;Box Score;;0;
