Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Wed, Mar 24, 2021;8:00p;Cleveland Cavaliers;103;Chicago Bulls;94;Box Score;;0;
Wed, Mar 24, 2021;8:00p;Charlotte Hornets;122;Houston Rockets;97;Box Score;;3,163;
Wed, Mar 24, 2021;8:00p;Dallas Mavericks;128;Minnesota Timberwolves;108;Box Score;;0;
Wed, Mar 24, 2021;8:00p;Memphis Grizzlies;116;Oklahoma City Thunder;107;Box Score;;0;
Wed, Mar 24, 2021;8:00p;Phoenix Suns;111;Orlando Magic;112;Box Score;;3,891;
Wed, Mar 24, 2021;8:30p;Los Angeles Clippers;134;San Antonio Spurs;101;Box Score;;3,224;
Wed, Mar 24, 2021;10:00p;Atlanta Hawks;108;Sacramento Kings;110;Box Score;;0;
Wed, Mar 24, 2021;10:00p;Brooklyn Nets;88;Utah Jazz;118;Box Score;;5,546;
Thu, Mar 25, 2021;7:30p;Portland Trail Blazers;125;Miami Heat;122;Box Score;;0;
Thu, Mar 25, 2021;7:30p;Washington Wizards;102;New York Knicks;106;Box Score;;1,817;
Thu, Mar 25, 2021;8:30p;Los Angeles Clippers;98;San Antonio Spurs;85;Box Score;;3,225;
Thu, Mar 25, 2021;10:00p;Philadelphia 76ers;109;Los Angeles Lakers;101;Box Score;;0;
Thu, Mar 25, 2021;10:00p;Golden State Warriors;119;Sacramento Kings;141;Box Score;;0;
Fri, Mar 26, 2021;7:00p;Brooklyn Nets;113;Detroit Pistons;111;Box Score;;750;
Fri, Mar 26, 2021;7:30p;Boston Celtics;122;Milwaukee Bucks;114;Box Score;;3,28;
Fri, Mar 26, 2021;7:30p;Phoenix Suns;104;Toronto Raptors;100;Box Score;;0;
Fri, Mar 26, 2021;8:00p;Miami Heat;105;Charlotte Hornets;110;Box Score;;4,215;
Fri, Mar 26, 2021;8:00p;Houston Rockets;101;Minnesota Timberwolves;107;Box Score;;0;
Fri, Mar 26, 2021;8:00p;Denver Nuggets;113;New Orleans Pelicans;108;Box Score;;3,7;
Fri, Mar 26, 2021;8:00p;Portland Trail Blazers;112;Orlando Magic;105;Box Score;;3,827;
Fri, Mar 26, 2021;8:30p;Indiana Pacers;109;Dallas Mavericks;94;Box Score;;4,132;
Fri, Mar 26, 2021;9:00p;Memphis Grizzlies;114;Utah Jazz;117;Box Score;;5,546;
Fri, Mar 26, 2021;10:00p;Atlanta Hawks;124;Golden State Warriors;108;Box Score;;0;
Fri, Mar 26, 2021;10:30p;Cleveland Cavaliers;86;Los Angeles Lakers;100;Box Score;;0;
Sat, Mar 27, 2021;8:00p;New York Knicks;102;Milwaukee Bucks;96;Box Score;;3,28;
Sat, Mar 27, 2021;8:00p;Houston Rockets;129;Minnesota Timberwolves;107;Box Score;;0;
Sat, Mar 27, 2021;8:00p;Detroit Pistons;92;Washington Wizards;106;Box Score;;0;
Sat, Mar 27, 2021;8:30p;Chicago Bulls;104;San Antonio Spurs;120;Box Score;;3,334;
Sat, Mar 27, 2021;9:00p;Dallas Mavericks;103;New Orleans Pelicans;112;Box Score;;3,7;
Sat, Mar 27, 2021;9:00p;Boston Celtics;111;Oklahoma City Thunder;94;Box Score;;0;
Sat, Mar 27, 2021;9:00p;Memphis Grizzlies;110;Utah Jazz;126;Box Score;;5,546;
Sat, Mar 27, 2021;10:00p;Philadelphia 76ers;112;Los Angeles Clippers;122;Box Score;;0;
Sat, Mar 27, 2021;10:00p;Cleveland Cavaliers;98;Sacramento Kings;100;Box Score;;0;
Sun, Mar 28, 2021;1:00p;Phoenix Suns;101;Charlotte Hornets;97;Box Score;OT;3,85;
Sun, Mar 28, 2021;7:00p;Portland Trail Blazers;122;Toronto Raptors;117;Box Score;;2,021;
Sun, Mar 28, 2021;9:00p;Atlanta Hawks;102;Denver Nuggets;126;Box Score;;0;
Sun, Mar 28, 2021;10:00p;Orlando Magic;93;Los Angeles Lakers;96;Box Score;;0;
Mon, Mar 29, 2021;7:00p;Indiana Pacers;124;Washington Wizards;132;Box Score;;0;
Mon, Mar 29, 2021;7:30p;New Orleans Pelicans;115;Boston Celtics;109;Box Score;;2,298;
Mon, Mar 29, 2021;7:30p;Minnesota Timberwolves;107;Brooklyn Nets;112;Box Score;;1,732;
Mon, Mar 29, 2021;7:30p;Miami Heat;98;New York Knicks;88;Box Score;;1,981;
Mon, Mar 29, 2021;8:00p;Toronto Raptors;104;Detroit Pistons;118;Box Score;;750;
Mon, Mar 29, 2021;8:00p;Memphis Grizzlies;120;Houston Rockets;110;Box Score;;3,319;
Mon, Mar 29, 2021;8:00p;Dallas Mavericks;127;Oklahoma City Thunder;106;Box Score;;0;
Mon, Mar 29, 2021;8:30p;Sacramento Kings;132;San Antonio Spurs;115;Box Score;;2,876;
Mon, Mar 29, 2021;9:00p;Cleveland Cavaliers;75;Utah Jazz;114;Box Score;;5,546;
Mon, Mar 29, 2021;10:00p;Chicago Bulls;102;Golden State Warriors;116;Box Score;;0;
Mon, Mar 29, 2021;10:00p;Milwaukee Bucks;105;Los Angeles Clippers;129;Box Score;;0;
Tue, Mar 30, 2021;7:00p;Charlotte Hornets;114;Washington Wizards;104;Box Score;;0;
Tue, Mar 30, 2021;9:00p;Philadelphia 76ers;95;Denver Nuggets;104;Box Score;;3,574;
Tue, Mar 30, 2021;10:00p;Orlando Magic;103;Los Angeles Clippers;96;Box Score;;0;
Tue, Mar 30, 2021;10:00p;Atlanta Hawks;110;Phoenix Suns;117;Box Score;;3,173;
Wed, Mar 31, 2021;7:00p;Portland Trail Blazers;124;Detroit Pistons;101;Box Score;;750;
Wed, Mar 31, 2021;7:00p;Miami Heat;92;Indiana Pacers;87;Box Score;;0;
Wed, Mar 31, 2021;7:30p;Dallas Mavericks;113;Boston Celtics;108;Box Score;;2,298;
Wed, Mar 31, 2021;7:30p;Houston Rockets;108;Brooklyn Nets;120;Box Score;;1,773;
Wed, Mar 31, 2021;8:00p;Utah Jazz;111;Memphis Grizzlies;107;Box Score;;2,314;
Wed, Mar 31, 2021;8:00p;New York Knicks;101;Minnesota Timberwolves;102;Box Score;;0;
Wed, Mar 31, 2021;8:00p;Toronto Raptors;103;Oklahoma City Thunder;113;Box Score;;0;
Wed, Mar 31, 2021;8:30p;Sacramento Kings;106;San Antonio Spurs;120;Box Score;;2,802;
Wed, Mar 31, 2021;10:00p;Milwaukee Bucks;112;Los Angeles Lakers;97;Box Score;;0;
Wed, Mar 31, 2021;10:00p;Chicago Bulls;116;Phoenix Suns;121;Box Score;;3,459;
