Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Fri, Apr 16, 2021;7:30p;Charlotte Hornets;115;Brooklyn Nets;130;Box Score;;1,773;
Fri, Apr 16, 2021;7:30p;Orlando Magic;102;Toronto Raptors;113;Box Score;;0;
Fri, Apr 16, 2021;8:00p;Memphis Grizzlies;126;Chicago Bulls;115;Box Score;;0;
Fri, Apr 16, 2021;8:00p;Denver Nuggets;128;Houston Rockets;99;Box Score;;3,342;
Fri, Apr 16, 2021;8:00p;Miami Heat;111;Minnesota Timberwolves;119;Box Score;;1,638;
Fri, Apr 16, 2021;8:30p;Portland Trail Blazers;107;San Antonio Spurs;106;Box Score;;4,303;
Fri, Apr 16, 2021;9:30p;New York Knicks;117;Dallas Mavericks;109;Box Score;;4,246;
Sat, Apr 17, 2021;4:30p;Utah Jazz;115;Los Angeles Lakers;127;Box Score;OT;1,71;
Sat, Apr 17, 2021;8:00p;Cleveland Cavaliers;96;Chicago Bulls;106;Box Score;;0;
Sat, Apr 17, 2021;8:00p;Detroit Pistons;100;Washington Wizards;121;Box Score;;0;
Sat, Apr 17, 2021;8:30p;Golden State Warriors;114;Boston Celtics;119;Box Score;;2,298;
Sat, Apr 17, 2021;9:00p;Memphis Grizzlies;128;Milwaukee Bucks;115;Box Score;;3,28;
Sat, Apr 17, 2021;10:00p;San Antonio Spurs;111;Phoenix Suns;85;Box Score;;5,078;
Sun, Apr 18, 2021;1:00p;Indiana Pacers;117;Atlanta Hawks;129;Box Score;;0;
Sun, Apr 18, 2021;1:00p;New Orleans Pelicans;112;New York Knicks;122;Box Score;OT;1,981;
Sun, Apr 18, 2021;3:30p;Brooklyn Nets;107;Miami Heat;109;Box Score;;0;
Sun, Apr 18, 2021;7:00p;Portland Trail Blazers;101;Charlotte Hornets;109;Box Score;;3,88;
Sun, Apr 18, 2021;7:00p;Houston Rockets;114;Orlando Magic;110;Box Score;;3,772;
Sun, Apr 18, 2021;7:00p;Oklahoma City Thunder;106;Toronto Raptors;112;Box Score;;0;
Sun, Apr 18, 2021;7:30p;Sacramento Kings;121;Dallas Mavericks;107;Box Score;;4,193;
Sun, Apr 18, 2021;10:00p;Minnesota Timberwolves;105;Los Angeles Clippers;124;Box Score;;1,734;
Mon, Apr 19, 2021;7:00p;Cleveland Cavaliers;105;Detroit Pistons;109;Box Score;;750;
Mon, Apr 19, 2021;7:30p;Chicago Bulls;102;Boston Celtics;96;Box Score;;0;
Mon, Apr 19, 2021;7:30p;Golden State Warriors;107;Philadelphia 76ers;96;Box Score;;4,094;
Mon, Apr 19, 2021;8:00p;San Antonio Spurs;109;Indiana Pacers;94;Box Score;;0;
Mon, Apr 19, 2021;8:00p;Houston Rockets;91;Miami Heat;113;Box Score;;0;
Mon, Apr 19, 2021;8:00p;Phoenix Suns;128;Milwaukee Bucks;127;Box Score;OT;3,28;
Mon, Apr 19, 2021;8:00p;Oklahoma City Thunder;107;Washington Wizards;119;Box Score;;0;
Mon, Apr 19, 2021;9:00p;Memphis Grizzlies;137;Denver Nuggets;139;Box Score;2OT;4,005;
Mon, Apr 19, 2021;10:00p;Utah Jazz;111;Los Angeles Lakers;97;Box Score;;1,709;
Tue, Apr 20, 2021;7:30p;Orlando Magic;96;Atlanta Hawks;112;Box Score;;2,219;
Tue, Apr 20, 2021;7:30p;Brooklyn Nets;134;New Orleans Pelicans;129;Box Score;;3,7;
Tue, Apr 20, 2021;7:30p;Charlotte Hornets;97;New York Knicks;109;Box Score;;1,753;
Tue, Apr 20, 2021;10:00p;Los Angeles Clippers;113;Portland Trail Blazers;112;Box Score;;0;
Tue, Apr 20, 2021;10:00p;Minnesota Timberwolves;134;Sacramento Kings;120;Box Score;;0;
Wed, Apr 21, 2021;7:00p;Chicago Bulls;105;Cleveland Cavaliers;121;Box Score;;0;
Wed, Apr 21, 2021;7:00p;Oklahoma City Thunder;116;Indiana Pacers;122;Box Score;;0;
Wed, Apr 21, 2021;7:00p;Phoenix Suns;116;Philadelphia 76ers;113;Box Score;;4,094;
Wed, Apr 21, 2021;7:00p;Brooklyn Nets;103;Toronto Raptors;114;Box Score;;0;
Wed, Apr 21, 2021;7:00p;Golden State Warriors;114;Washington Wizards;118;Box Score;;2,133;
Wed, Apr 21, 2021;8:00p;Utah Jazz;112;Houston Rockets;89;Box Score;;3,253;
Wed, Apr 21, 2021;8:00p;Atlanta Hawks;127;New York Knicks;137;Box Score;OT;1,981;
Wed, Apr 21, 2021;8:30p;Detroit Pistons;117;Dallas Mavericks;127;Box Score;;4,043;
Wed, Apr 21, 2021;8:30p;Miami Heat;107;San Antonio Spurs;87;Box Score;;4,229;
Wed, Apr 21, 2021;10:00p;Memphis Grizzlies;105;Los Angeles Clippers;117;Box Score;;1,782;
Wed, Apr 21, 2021;10:00p;Denver Nuggets;106;Portland Trail Blazers;105;Box Score;;0;
Wed, Apr 21, 2021;10:00p;Minnesota Timberwolves;125;Sacramento Kings;128;Box Score;;0;
Thu, Apr 22, 2021;7:00p;Phoenix Suns;86;Boston Celtics;99;Box Score;;2,298;
Thu, Apr 22, 2021;7:00p;Philadelphia 76ers;117;Milwaukee Bucks;124;Box Score;;3,28;
Thu, Apr 22, 2021;7:00p;New Orleans Pelicans;135;Orlando Magic;100;Box Score;;3,411;
Thu, Apr 22, 2021;8:30p;Detroit Pistons;91;San Antonio Spurs;106;Box Score;;3,334;
Thu, Apr 22, 2021;9:00p;Charlotte Hornets;91;Chicago Bulls;108;Box Score;;0;
Thu, Apr 22, 2021;9:30p;Los Angeles Lakers;110;Dallas Mavericks;115;Box Score;;4,443;
Fri, Apr 23, 2021;7:30p;Miami Heat;103;Atlanta Hawks;118;Box Score;;2,985;
Fri, Apr 23, 2021;7:30p;Boston Celtics;104;Brooklyn Nets;109;Box Score;;1,773;
Fri, Apr 23, 2021;8:00p;Cleveland Cavaliers;102;Charlotte Hornets;108;Box Score;;4,06;
Fri, Apr 23, 2021;8:00p;Los Angeles Clippers;109;Houston Rockets;104;Box Score;;3,313;
Fri, Apr 23, 2021;8:00p;Washington Wizards;129;Oklahoma City Thunder;109;Box Score;;0;
Fri, Apr 23, 2021;10:00p;Denver Nuggets;97;Golden State Warriors;118;Box Score;;1,935;
Fri, Apr 23, 2021;10:00p;Memphis Grizzlies;130;Portland Trail Blazers;128;Box Score;;0;
Sat, Apr 24, 2021;1:00p;Toronto Raptors;103;New York Knicks;120;Box Score;;1,981;
Sat, Apr 24, 2021;3:30p;Philadelphia 76ers;94;Milwaukee Bucks;132;Box Score;;3,28;
Sat, Apr 24, 2021;7:00p;Detroit Pistons;109;Indiana Pacers;115;Box Score;;0;
Sat, Apr 24, 2021;8:00p;Chicago Bulls;101;Miami Heat;106;Box Score;;0;
Sat, Apr 24, 2021;8:00p;San Antonio Spurs;110;New Orleans Pelicans;108;Box Score;;3,7;
Sat, Apr 24, 2021;8:30p;Los Angeles Lakers;93;Dallas Mavericks;108;Box Score;;4,561;
Sat, Apr 24, 2021;9:00p;Minnesota Timberwolves;101;Utah Jazz;96;Box Score;;0;
Sat, Apr 24, 2021;10:00p;Houston Rockets;116;Denver Nuggets;129;Box Score;;4,035;
Sun, Apr 25, 2021;1:00p;Boston Celtics;104;Charlotte Hornets;125;Box Score;;4,493;
Sun, Apr 25, 2021;3:30p;Phoenix Suns;119;Brooklyn Nets;128;Box Score;;1,773;
Sun, Apr 25, 2021;4:00p;Memphis Grizzlies;120;Portland Trail Blazers;113;Box Score;;0;
Sun, Apr 25, 2021;7:00p;Cleveland Cavaliers;110;Washington Wizards;119;Box Score;;2,133;
Sun, Apr 25, 2021;7:30p;Milwaukee Bucks;104;Atlanta Hawks;111;Box Score;;3,01;
Sun, Apr 25, 2021;8:00p;Indiana Pacers;131;Orlando Magic;112;Box Score;;3,519;
Sun, Apr 25, 2021;10:00p;Sacramento Kings;113;Golden State Warriors;117;Box Score;;3,252;
Mon, Apr 26, 2021;7:00p;Atlanta Hawks;86;Detroit Pistons;100;Box Score;;750;
Mon, Apr 26, 2021;7:00p;Los Angeles Lakers;114;Orlando Magic;103;Box Score;;4,099;
